Title,Date,Status,Link,Notes
Big Data Ethics Support Systems and Networks,,,https://vimeo.com/151672242,
Brooklyn Farmer,,,https://vimeo.com/ondemand/brooklynfarmer,
Shenzhen the silicon valley of hardware,,,https://www.youtube.com/watch?v=hUtUwRRlTKw,
Vancouver’s Multi-Modal Success Story,,,https://vimeo.com/193996060,
How an old loop of railroads is changing the face of a city,,,http://www.ted.com/talks/ryan_gravel_how_an_old_loop_of_railroads_is_changing_the_face_of_a_city,
The City Dark,,,https://www.amazon.com/City-Dark-Neil-deGrasse-Tyson/dp/B00CMAQMP8,
We Live This,,,http://www.hayden5.com/project/we-live-this/,
In Jackson Heights,,,http://www.pbs.org/show/jackson-heights/,
