Title,Date,Status,Link,Notes
Economics of Philanthropy,Jan 2017,Upcoming,http://www.slate.com/articles/podcasts/slate_money/2016/11/slate_money_talks_criminal_justice_data_and_the_role_of_philanthropy_post.html,
Freakonomics: Why Uber Is an Economist’s Dream,,,http://freakonomics.com/podcast/uber-economists-dream/,
Big Data and Advertising,,,http://www.stitcher.com/podcast/nyc-media-lab-podcast/e/claudia-perlich-on-advertising-in-the-age-of-big-data-40920622,
Five Thirthy Eight Dear Data,,,http://fivethirtyeight.com/features/dear-data-and-fivethirtyeight-want-you-to-visualize-your-podcast-habits/,
99% Invisible,,,http://99percentinvisible.org/about/the-show/,
Notr to Self,,,http://www.wnyc.org/shows/notetoself
